,1,2,3,4,5,CY,Z_count_1,Z_count_2,Z_count_3,Z_count_4,Z_count_5,Z_count_6,Z_min,Z_T,Z_max,Z_min_61,Z_max_61,Z_min_c,Z_T_c,Z_max_c,Z_min_61_c,Z_max_61_c,F_count_1,F_count_2,F_count_3,F_count_4,F_count_5,F_count_6,F_min,F_T,F_max,F_min_56,F_max_56,F_min_c,F_T_c,F_max_c,F_min_56_c,F_max_56_c
0,1,1,1,1,1,1,5,0,0,0,0,0,0,5,5,0,5,0,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,2,1,4,1,0,0,0,0,0,4,4,0,4,0,4,4,0,4,4,5,4,4,4,4,4,5,5,4,4,4,5,5,4,4
2,1,1,1,1,3,1,4,0,1,0,0,0,0,4,4,0,4,0,4,4,0,4,4,4,5,4,4,4,4,4,5,4,4,4,4,5,4,4
3,1,1,1,1,4,1,4,0,0,1,0,0,0,4,4,0,4,0,4,4,0,4,4,4,4,5,4,4,4,4,5,4,4,4,4,5,4,4
4,1,1,1,1,5,1,4,0,0,0,1,0,0,4,4,0,4,0,4,4,0,4,4,4,4,4,5,4,4,4,5,4,5,4,4,5,4,5
5,1,1,1,1,6,1,4,0,0,0,0,1,0,4,4,1,4,0,4,4,1,4,4,4,4,4,4,5,4,4,5,4,5,4,4,5,4,5
6,1,1,1,2,1,1,4,1,0,0,0,0,0,4,4,0,4,0,4,4,0,4,4,5,4,4,4,4,4,5,5,4,4,4,5,5,4,4
7,1,1,1,2,2,1,3,2,0,0,0,0,0,3,3,0,3,0,3,3,0,3,3,5,3,3,3,3,3,5,5,3,3,3,5,5,3,3
8,1,1,1,2,3,1,3,1,1,0,0,0,0,3,3,0,3,0,3,3,0,3,3,4,4,3,3,3,3,4,4,3,3,3,4,4,3,3
9,1,1,1,2,4,1,3,1,0,1,0,0,0,3,3,0,3,0,3,3,0,3,3,4,3,4,3,3,3,4,4,3,3,3,4,4,3,3
10,1,1,1,2,5,1,3,1,0,0,1,0,0,3,3,0,3,0,3,3,0,3,3,4,3,3,4,3,3,4,4,3,4,3,4,4,3,4
11,1,1,1,2,6,1,3,1,0,0,0,1,0,3,3,1,3,0,3,3,1,3,3,4,3,3,3,4,3,4,4,3,4,3,4,4,3,4
12,1,1,1,3,1,1,4,0,1,0,0,0,0,4,4,0,4,0,4,4,0,4,4,4,5,4,4,4,4,4,5,4,4,4,4,5,4,4
13,1,1,1,3,2,1,3,1,1,0,0,0,0,3,3,0,3,0,3,3,0,3,3,4,4,3,3,3,3,4,4,3,3,3,4,4,3,3
14,1,1,1,3,3,1,3,0,2,0,0,0,0,3,3,0,3,0,3,3,0,3,3,3,5,3,3,3,3,3,5,3,3,3,3,5,3,3
15,1,1,1,3,4,1,3,0,1,1,0,0,0,3,3,0,3,0,3,3,0,3,3,3,4,4,3,3,3,3,4,3,3,3,3,4,3,3
